"registrationid","buildingid","boroid","boro","housenumber","lowhousenumber","highhousenumber","streetname","streetcode","zip","block","lot","bin","communityboard","lastregistrationdate","registrationenddate"
"138482","23775","1","MANHATTAN","1056","1056","1066","LEXINGTON AVENUE","24890","10021","1410","14","1043142","8","2025-09-25T00:00:00.000","2026-09-01T00:00:00.000"
"133603","24407","1","MANHATTAN","17","17","17","LUDLOW STREET","25090","10002","298","25","1077110","3","2025-07-22T00:00:00.000","2026-09-01T00:00:00.000"
"331058","242130","3","BROOKLYN","2532","2532","2532","EAST 11 STREET","35280","11235","7430","17","3203807","15","2025-12-18T00:00:00.000","2026-09-01T00:00:00.000"
"427436","880121","4","QUEENS","80-40","80-40","80-42","59 STREET","12390","11385","3731","24","4532288","5","2025-12-15T00:00:00.000","2026-09-01T00:00:00.000"
"335914","355743","3","BROOKLYN","605","605","605","PRESIDENT STREET","72230","11215","955","72","3020095","6","2025-12-22T00:00:00.000","2026-09-01T00:00:00.000"
"363462","332451","3","BROOKLYN","15","15","15","MARCONI PLACE","58630","11233","1566","11","3042540","16","2025-12-03T00:00:00.000","2026-09-01T00:00:00.000"
"229261","1016822","2","BRONX","1437","1437","1437","VYSE AVENUE","72320","10459","2987","138","2102262","3","2025-12-11T00:00:00.000","2026-09-01T00:00:00.000"
"101191","25483","1","MANHATTAN","10","8","14","MITCHELL PLACE","26290","10017","1361","7","1040077","6","2025-09-18T00:00:00.000","2026-09-01T00:00:00.000"
"134406","25739","1","MANHATTAN","67","67","67","MOTT STREET","26790","10013","200","26","1002397","3","2025-07-09T00:00:00.000","2026-09-01T00:00:00.000"
"116536","26108","1","MANHATTAN","166","166","166","ORCHARD STREET","27590","10002","411","11","1005347","3","2025-09-24T00:00:00.000","2026-09-01T00:00:00.000"
"109457","27200","1","MANHATTAN","1781","1781","1783","RIVERSIDE DRIVE","29690","10034","2246","135","1065056","12","2025-08-24T00:00:00.000","2026-09-01T00:00:00.000"
"114522","27579","1","MANHATTAN","132","132","132","SHERMAN AVENUE","30490","10034","2224","31","1064808","12","2025-09-03T00:00:00.000","2026-09-01T00:00:00.000"
"139461","27702","1","MANHATTAN","157","157","157","SPRING STREET","30790","10012","501","39","1007723","2","2021-10-27T00:00:00.000","2022-09-01T00:00:00.000"
"100570","27913","1","MANHATTAN","95","95","95","ST MARKS PLACE","31090","10009","436","52","1082476","3","2025-08-26T00:00:00.000","2026-09-01T00:00:00.000"
"112934","28115","1","MANHATTAN","426","426","426","ST NICHOLAS AVENUE","31190","10027","1958","57","1059442","10","2025-08-25T00:00:00.000","2026-09-01T00:00:00.000"
"324826","126636","3","BROOKLYN","81","81","81","1 PLACE","5030","11231","356","46","3004984","6","2025-12-16T00:00:00.000","2026-09-01T00:00:00.000"
"116900","28698","1","MANHATTAN","105","105","105","THOMPSON STREET","32590","10012","503","27","1007791","2","2025-09-08T00:00:00.000","2026-09-01T00:00:00.000"
"136822","28722","1","MANHATTAN","168","168","168","THOMPSON STREET","32590","10012","525","34","1008260","2","2016-11-10T00:00:00.000","2017-09-01T00:00:00.000"
"142364","29392","1","MANHATTAN","277","277","277","WATER STREET","33490","10038","107","50","1001386","1","2025-10-11T00:00:00.000","2026-09-01T00:00:00.000"
"130374","29533","1","MANHATTAN","136","136","138","WEST 4 STREET","33910","10012","543","48","1008756","2","2025-06-30T00:00:00.000","2026-09-01T00:00:00.000"
"108106","29956","1","MANHATTAN","323","323","323","WEST 11 STREET","33990","10014","634","36","1078297","2","2025-08-25T00:00:00.000","2026-09-01T00:00:00.000"
"217176","87582","2","BRONX","1837","1837","1837","HUNT AVENUE","41520","10462","4050","61","2043510","11",,"2026-09-01T00:00:00.000"
"138284","32939","1","MANHATTAN","510","510","516","WEST 42 STREET","34610","10036","1070","20","1026907","4","2023-08-15T00:00:00.000","2024-09-30T00:00:00.000"
"131705","33298","1","MANHATTAN","332","332","332","WEST 46 STREET","34690","10036","1036","46","1025017","4","2025-09-22T00:00:00.000","2026-09-01T00:00:00.000"
"132642","33516","1","MANHATTAN","449","449","449","WEST 47 STREET","34710","10036","1057","11","1026554","4","2025-09-05T00:00:00.000","2026-09-01T00:00:00.000"
"109683","33546","1","MANHATTAN","528","528","528","WEST 47 STREET","34710","10036","1075","46","1026976","4","2025-09-05T00:00:00.000","2026-09-01T00:00:00.000"
"144348","34074","1","MANHATTAN","351","351","351","WEST 54 STREET","34850","10019","1045","6","1080913","4","2025-09-18T00:00:00.000","2026-09-01T00:00:00.000"
"133288","34131","1","MANHATTAN","204","202","204","WEST 55 STREET","34870","10019","1026","37","1024857","5","2025-09-06T00:00:00.000","2026-09-01T00:00:00.000"
"117939","34146","1","MANHATTAN","304","304","318","WEST 55 STREET","34870","10019","1045","37","1025417","4","2025-08-01T00:00:00.000","2026-09-01T00:00:00.000"
"121027","34505","1","MANHATTAN","10","10","32","WEST 65 STREET","35070","10023","1117","39","1028139","7","2025-09-11T00:00:00.000","2026-09-01T00:00:00.000"
"118597","35025","1","MANHATTAN","310","310","318","WEST 72 STREET","35210","10023","1183","37","1030968","7","2025-07-25T00:00:00.000","2026-09-01T00:00:00.000"
"143198","35213","1","MANHATTAN","237","237","237","WEST 74 STREET","35250","10023","1166","11","1030721","7","2025-08-28T00:00:00.000","2026-09-01T00:00:00.000"
"108749","35329","1","MANHATTAN","170","170","170","WEST 75 STREET","35270","10023","1146","7504","1030096","7","2025-08-01T00:00:00.000","2026-09-01T00:00:00.000"
"124252","35397","1","MANHATTAN","54","54","54","WEST 75 STREET","35270","10023","1127","59","1028735","7","2025-06-20T00:00:00.000","2026-09-01T00:00:00.000"
"135370","35432","1","MANHATTAN","155","155","155","WEST 76 STREET","35290","10023","1148","11","1030176","7","2025-09-04T00:00:00.000","2026-09-01T00:00:00.000"
"114807","36171","1","MANHATTAN","60","60","60","WEST 84 STREET","35450","10024","1197","59","1031242","7","2025-09-12T00:00:00.000","2026-09-01T00:00:00.000"
"129939","36629","1","MANHATTAN","258","258","258","WEST 88 STREET","35530","10024","1235","57","1033222","7","2025-07-18T00:00:00.000","2026-09-01T00:00:00.000"
"127371","36657","1","MANHATTAN","327","327","327","WEST 88 STREET","35530","10024","1250","18","1034012","7","2025-09-30T00:00:00.000","2026-09-01T00:00:00.000"
"111588","36851","1","MANHATTAN","316","316","316","WEST 90 STREET","35570","10024","1250","108","1034060","7","2025-09-08T00:00:00.000","2026-09-01T00:00:00.000"
"124341","37132","1","MANHATTAN","140","140","140","WEST 95 STREET","35670","10025","1225","49","1032570","7","2025-07-23T00:00:00.000","2026-09-01T00:00:00.000"
"133019","37643","1","MANHATTAN","57","57","59","WEST 106 STREET","35890","10025","1842","10","1055648","7","2025-08-13T00:00:00.000","2026-09-01T00:00:00.000"
"101869","37879","1","MANHATTAN","303","303","303","WEST 111 STREET","35990","10026","1846","41","1055762","10","2025-06-30T00:00:00.000","2026-09-01T00:00:00.000"
"370518","159819","3","BROOKLYN","963","963","963","57 STREET","9430","11219","5687","55","3139943","12","2025-12-09T00:00:00.000","2026-09-01T00:00:00.000"
"124023","38700","1","MANHATTAN","28","28","28","WEST 119 STREET","36150","10026","1717","48","1053203","10",,"2019-09-01T00:00:00.000"
"112687","38772","1","MANHATTAN","80","80","80","WEST 119 STREET","36150","10026","1717","67","1053220","10","2022-09-22T00:00:00.000","2023-09-01T00:00:00.000"
"121408","38958","1","MANHATTAN","15","15","15","WEST 121 STREET","36190","10027","1720","43","1053356","10","2024-10-22T00:00:00.000","2025-09-01T00:00:00.000"
"126638","39273","1","MANHATTAN","158","158","158","WEST 123 STREET","36230","10027","1907","157","1057772","10","2015-04-28T00:00:00.000","2015-09-01T00:00:00.000"
"815641","192574","3","BROOKLYN","8601","8601","8601","AVENUE N","14280","11236","8077","45","3227454","18","2025-12-03T00:00:00.000","2026-09-01T00:00:00.000"
"129385","39746","1","MANHATTAN","77","77","77","WEST 126 STREET","36290","10027","1724","105","1053596","10","2025-07-02T00:00:00.000","2026-09-01T00:00:00.000"
"118552","39798","1","MANHATTAN","23","23","23","WEST 127 STREET","36310","10027","1725","26","1053627","10","2014-06-11T00:00:00.000","2015-09-01T00:00:00.000"
"17894","740846","5","STATEN ISLAND","63","63","63","GORDON STREET","29900","10304","540","25","5014037","1","2025-12-10T00:00:00.000","2026-09-01T00:00:00.000"
"610948","39894","1","MANHATTAN","11","11","11","WEST 128 STREET","36330","10027","1726","30","1053692","10","2025-08-08T00:00:00.000","2026-09-01T00:00:00.000"
"121344","40115","1","MANHATTAN","114","114","114","WEST 130 STREET","36370","10027","1914","140","1058018","10","2019-07-23T00:00:00.000","2020-11-01T00:00:00.000"
"123174","41162","1","MANHATTAN","237","237","237","WEST 138 STREET","36530","10030","2024","115","1060327","10","2022-02-03T00:00:00.000","2022-09-01T00:00:00.000"
"117826","41318","1","MANHATTAN","227","227","227","WEST 139 STREET","36550","10030","2025","18","1060362","10","2025-08-04T00:00:00.000","2026-09-01T00:00:00.000"
"134249","41445","1","MANHATTAN","308","308","308","WEST 140 STREET","36570","10030","2042","21","1060717","10","2025-09-09T00:00:00.000","2026-09-01T00:00:00.000"
"611661","41566","1","MANHATTAN","539","539","539","WEST 141 STREET","36590","10031","2073","113","1061829","9","2024-10-09T00:00:00.000","2025-09-01T00:00:00.000"
"113174","41844","1","MANHATTAN","470","470","470","WEST 144 STREET","36650","10031","2059","28","1061296","9","2023-12-12T00:00:00.000","2024-09-30T00:00:00.000"
"112390","42091","1","MANHATTAN","613","613","613","WEST 146 STREET","36690","10031","2093","23","1062393","9","2024-10-17T00:00:00.000","2025-09-01T00:00:00.000"
"818844","319888","3","BROOKLYN","1425","1423","1425","KINGS HIGHWAY","54050","11229","6777","29","3182412","15","2025-12-22T00:00:00.000","2026-09-01T00:00:00.000"
"117860","42440","1","MANHATTAN","509","509","509","WEST 150 STREET","36770","10031","2082","124","1062174","9","2025-08-31T00:00:00.000","2026-09-01T00:00:00.000"
"611291","42808","1","MANHATTAN","508","508","508","WEST 159 STREET","36950","10032","2117","31","1062762","12","2025-10-09T00:00:00.000","2026-09-01T00:00:00.000"
"100077","42875","1","MANHATTAN","556","556","556","WEST 160 STREET","36970","10032","2118","13","1062786","12","2025-08-22T00:00:00.000","2026-09-01T00:00:00.000"
"129356","43112","1","MANHATTAN","508","508","508","WEST 169 STREET","37150","10032","2125","39","1063004","12","2009-10-17T00:00:00.000","2010-10-01T00:00:00.000"
"118630","43135","1","MANHATTAN","509","509","511","WEST 170 STREET","37170","10032","2127","56","1063059","12","2025-08-28T00:00:00.000","2026-09-01T00:00:00.000"
"367507","808206","3","BROOKLYN","481","481","481","EAST 15 STREET","35480","11226","5179","61","3119401","14","2025-12-05T00:00:00.000","2026-09-01T00:00:00.000"
"125610","43964","1","MANHATTAN","282","282","282","WEST END AVENUE","44990","10023","1165","2","1030540","7","2025-07-25T00:00:00.000","2026-09-01T00:00:00.000"
"714240","44598","2","BRONX","1130","1130","1130","ADEE AVENUE","7720","10469","4559","41","2055148","11","2025-08-26T00:00:00.000","2026-09-01T00:00:00.000"
"217612","44654","2","BRONX","1331","1331","1331","ADEE AVENUE","7720","10469","4590","12","2056119","11","2025-08-25T00:00:00.000","2026-09-01T00:00:00.000"
"209463","45167","2","BRONX","928","928","928","ALLERTON AVENUE","8320","10469","4446","37","2051650","11","2025-09-08T00:00:00.000","2026-09-01T00:00:00.000"
"208076","46082","2","BRONX","809","809","809","ARNOW AVENUE","9320","10467","4550","3","2054893","11","2025-10-08T00:00:00.000","2026-09-01T00:00:00.000"
"433394","842432","4","QUEENS","111-17","111-17","111-17","44 AVENUE","9940","11368","2016","82","4530141","4","2025-12-22T00:00:00.000","2026-09-01T00:00:00.000"
"217808","47193","2","BRONX","3069","3065","3069","BARKER AVENUE","10420","10467","4543","29","2054726","12","2025-09-03T00:00:00.000","2026-09-01T00:00:00.000"
"218432","47761","2","BRONX","3946","3946","3946","BARNES AVENUE","10620","10466","4848","42","2063812","12","2025-07-09T00:00:00.000","2026-09-01T00:00:00.000"
"201545","49167","2","BRONX","2409","2409","2411","BEAUMONT AVENUE","12020","10458","3090","23","2012542","6","2025-08-29T00:00:00.000","2026-09-01T00:00:00.000"
"207150","51026","2","BRONX","1124","1124","1124","BOYNTON AVENUE","14220","10472","3741","15","2023888","9","2025-09-06T00:00:00.000","2026-09-01T00:00:00.000"
"207235","52123","2","BRONX","1319","1319","1319","BRONX RIVER AVENUE","15420","10472","3861","162","2027356","9","2025-08-31T00:00:00.000","2026-09-01T00:00:00.000"
"716164","52523","2","BRONX","3766","3766","3766","BRONXWOOD AVENUE","15620","10469","4689","38","2059014","12","2025-09-17T00:00:00.000","2026-09-01T00:00:00.000"
"711520","54553","2","BRONX","1001","1001","1001","CALHOUN AVENUE","17420","10465","5533","41","2079540","10","2018-10-29T00:00:00.000","2019-09-01T00:00:00.000"
"201605","56732","2","BRONX","832","832","832","CLARENCE AVENUE","19820","10465","5479","58","2078190","10","2024-02-15T00:00:00.000","2024-09-30T00:00:00.000"
"218822","57696","2","BRONX","1165","1165","1165","COLGATE AVENUE","20620","10472","3736","53","2023727","9","2023-11-29T00:00:00.000","2024-09-30T00:00:00.000"
"714454","58198","2","BRONX","488","488","488","COMMONWEALTH AVENUE","20920","10473","3493","39","2020640","9","2024-09-25T00:00:00.000","2025-09-01T00:00:00.000"
"200233","59176","2","BRONX","2205","2205","2205","CRESTON AVENUE","21820","10453","3170","34","2013857","5","2025-08-31T00:00:00.000","2026-09-01T00:00:00.000"
"219021","59397","2","BRONX","1250","1250","1250","CROES AVENUE","22020","10472","3782","9","2025494","9","2025-08-28T00:00:00.000","2026-09-01T00:00:00.000"
"391782","234782","3","BROOKLYN","1138","1138","1150","DUMONT AVENUE","34330","11208","4456","5","3423486","5","2025-12-29T00:00:00.000","2026-09-01T00:00:00.000"
"200058","62835","2","BRONX","570","570","570","EAST 138 STREET","25800","10454","2550","7","2003604","1","2025-09-03T00:00:00.000","2026-09-01T00:00:00.000"
"212841","62975","2","BRONX","576","576","576","EAST 139 STREET","25830","10454","2551","9","2003625","1","2025-09-12T00:00:00.000","2026-09-01T00:00:00.000"
"226051","63132","2","BRONX","430","430","430","EAST 141 STREET","25890","10454","2285","115","2099412","1","2025-06-26T00:00:00.000","2026-09-01T00:00:00.000"
"222800","63359","2","BRONX","430","430","430","EAST 144 STREET","25980","10454","2288","22","2000454","1","2024-10-22T00:00:00.000","2025-09-01T00:00:00.000"
"343721","328881","3","BROOKLYN","588","588","588","LORIMER STREET","57030","11211","2757","3","3068667","1","2025-12-23T00:00:00.000","2026-09-01T00:00:00.000"
"228555","64350","2","BRONX","785","785","785","EAST 160 STREET","26460","10456","2667","7501","2097061","1","2025-08-19T00:00:00.000","2026-09-01T00:00:00.000"
"200936","64658","2","BRONX","960","960","960","EAST 163 STREET","26550","10459","2711","19","2005627","2","2025-08-29T00:00:00.000","2026-09-01T00:00:00.000"
"213495","64998","2","BRONX","892","892","892","EAST 167 STREET","26670","10459","2716","32","2005674","2","2025-09-26T00:00:00.000","2026-09-01T00:00:00.000"
"204979","65040","2","BRONX","288","288","288","EAST 168 STREET","26700","10456","2435","15","2002293","4","2025-10-08T00:00:00.000","2026-09-01T00:00:00.000"
"209513","65472","2","BRONX","1550","1550","1550","EAST 172 STREET","26820","10472","3774","44","2025252","9","2025-09-23T00:00:00.000","2026-09-01T00:00:00.000"
"204743","65686","2","BRONX","465","465","465","EAST 174 STREET","26880","10457","2907","59","2009516","6","2018-11-07T00:00:00.000","2019-09-01T00:00:00.000"
"209533","66733","2","BRONX","622","622","624","EAST 187 STREET","27270","10458","3074","22","2012161","6","2025-08-13T00:00:00.000","2026-09-01T00:00:00.000"
"200510","67077","2","BRONX","2840","2840","2840","EAST 197 STREET","27570","10461","4243","9","2047598","10","2016-09-19T00:00:00.000","2017-09-01T00:00:00.000"
"715734","67887","2","BRONX","913","913","913","EAST 213 STREET","28020","10469","4684","29","2058782","12","2025-08-29T00:00:00.000","2026-09-01T00:00:00.000"
"216914","69261","2","BRONX","734","734","734","EAST 221 STREET","28260","10467","4668","75","2058147","12","2023-03-29T00:00:00.000","2023-09-01T00:00:00.000"
"713944","69855","2","BRONX","1321","1321","1321","EAST 223 STREET","28320","10466","4889","16","2065604","12","2024-04-09T00:00:00.000","2024-09-30T00:00:00.000"
"712350","69857","2","BRONX","1323","1323","1323","EAST 223 STREET","28320","10466","4889","115","2087352","12","2017-04-11T00:00:00.000","2017-09-01T00:00:00.000"
"716077","70038","2","BRONX","943","943","943","EAST 223 STREET","28320","10466","4859","20","2064310","12","2025-07-10T00:00:00.000","2026-09-01T00:00:00.000"
"227501","71062","2","BRONX","848","848","848","EAST 228 STREET","28470","10466","4852","62","2063996","12","2025-08-04T00:00:00.000","2026-09-01T00:00:00.000"
"203978","72056","2","BRONX","666","658","674","EAST 233 STREET","28620","10466","4835","70","2063299","12","2025-07-02T00:00:00.000","2026-09-01T00:00:00.000"
"205248","72228","2","BRONX","686","686","686","EAST 234 STREET","28650","10466","4994","80","2068069","12","2025-07-01T00:00:00.000","2026-09-01T00:00:00.000"
"120012","36025","1","MANHATTAN","202","202","202","WEST 83 STREET","35430","10024","1230","34","1032763","7","2025-12-02T00:00:00.000","2026-09-01T00:00:00.000"
"224037","73939","2","BRONX","2160","2160","2160","EAST TREMONT AVENUE","29620","10462","3944","7501","2096717","9","2025-09-10T00:00:00.000","2026-09-01T00:00:00.000"
"213415","76635","2","BRONX","912","912","922","ELSMERE PLACE","31020","10460","2985","69","2010624","6","2025-07-25T00:00:00.000","2026-09-01T00:00:00.000"
"207648","77182","2","BRONX","15","15","15","EVELYN PLACE","31620","10468","3198","110","2014287","7","2025-08-05T00:00:00.000","2026-09-01T00:00:00.000"
"215162","77317","2","BRONX","1030","1030","1030","FAILE STREET","31820","10459","2748","7501","2006093","2","2018-03-13T00:00:00.000","2018-09-01T00:00:00.000"
"206588","79962","2","BRONX","1663","1663","1663","GARFIELD STREET","34720","10460","4024","10","2042774","11","2022-07-18T00:00:00.000","2023-09-01T00:00:00.000"
"714694","80397","2","BRONX","1531","1531","1531","GILLESPIE AVENUE","35620","10461","5395","13","2074686","10","2025-10-02T00:00:00.000","2026-09-01T00:00:00.000"
"212487","85937","2","BRONX","3026","3026","3026","HOLLAND AVENUE","40320","10467","4570","17","2055607","12","2024-08-30T00:00:00.000","2025-09-01T00:00:00.000"
"214167","86494","2","BRONX","910","910","910","HOME STREET","40520","10459","2719","47","2005706","3","2025-08-24T00:00:00.000","2026-09-01T00:00:00.000"
"222508","87645","2","BRONX","2301","2301","2301","HUNTER AVENUE","41530","10475","5135","81","2088108","10","2024-11-20T00:00:00.000","2025-09-01T00:00:00.000"
"216020","88541","2","BRONX","506","506","506","JACKSON AVENUE","42420","10455","2579","7","2003916","1","2025-09-06T00:00:00.000","2026-09-01T00:00:00.000"
"202687","88972","2","BRONX","2760","2760","2760","JEROME AVENUE","42820","10468","3318","11","2017498","7","2025-09-23T00:00:00.000","2026-09-01T00:00:00.000"
"204717","90262","2","BRONX","60","60","60","KNOLLS CRESCENT","44420","10463","5723","42","2091864","8","2025-10-02T00:00:00.000","2026-09-01T00:00:00.000"
"710309","92547","2","BRONX","1097","1097","1097","LONGWOOD AVENUE","46820","10474","2731","2","2005835","2","2025-07-17T00:00:00.000","2026-09-01T00:00:00.000"
"711964","94206","2","BRONX","1801","1801","1801","MANSION STREET","49030","10460","3919","63","2092924","9","2025-07-03T00:00:00.000","2026-09-01T00:00:00.000"
"217726","94674","2","BRONX","4511","4511","4511","MATILDA AVENUE","49720","10470","5076","92","2070910","12","2025-10-11T00:00:00.000","2026-09-01T00:00:00.000"
"220346","95648","2","BRONX","1636","1636","1636","MELVILLE STREET","50420","10460","4023","53","2093034","11","2000-04-11T00:00:00.000","2000-09-30T00:00:00.000"
"716011","99197","2","BRONX","1433","1433","1433","NELSON AVENUE","53620","10452","2874","45","2008754","4","2025-06-06T00:00:00.000","2026-09-01T00:00:00.000"
"218573","99472","2","BRONX","3200","3200","3200","NETHERLAND AVENUE","53820","10463","5787","130","2084097","8","2025-06-26T00:00:00.000","2026-09-01T00:00:00.000"
"712259","100242","2","BRONX","1531","1531","1531","OHM AVENUE","55320","10465","5412","102","2075847","10",,"2019-09-01T00:00:00.000"
"221355","100954","2","BRONX","3512","3500","3512","OXFORD AVENUE","56520","10463","5792","422","2084146","8","2025-07-14T00:00:00.000","2026-09-01T00:00:00.000"
"221851","101836","2","BRONX","2024","2024","2024","PAULDING AVENUE","57320","10462","4302","36","2049080","11","2025-09-06T00:00:00.000","2026-09-01T00:00:00.000"
"204982","102867","2","BRONX","2974","2974","2974","PERRY AVENUE","58020","10458","3292","23","2016736","7","2025-09-24T00:00:00.000","2026-09-01T00:00:00.000"
"218748","104007","2","BRONX","1991","1991","1991","POWELL AVENUE","59220","10472","3792","52","2025819","9","2020-12-09T00:00:00.000","2021-09-01T00:00:00.000"
"222231","106938","2","BRONX","2887","2887","2887","ROBERTS AVENUE","61620","10461","4163","1","2045917","10","2025-08-07T00:00:00.000","2026-09-01T00:00:00.000"
"219080","108138","2","BRONX","1512","1512","1512","SCHORR PLACE","63320","10469","4534","43","2054562","11","2025-06-17T00:00:00.000","2026-09-01T00:00:00.000"
"219845","109308","2","BRONX","3345","3345","3345","SEYMOUR AVENUE","64420","10469","4736","15","2060683","12","2012-09-26T00:00:00.000","2013-09-15T00:00:00.000"
"204227","109428","2","BRONX","1174","1172","1174","SHERIDAN AVENUE","64620","10456","2456","218","2002755","4","2025-08-06T00:00:00.000","2026-09-01T00:00:00.000"
"221097","110113","2","BRONX","2275","2275","2275","SOUTHERN BOULEVARD","65320","10460","3100","54","2012794","6","2020-11-23T00:00:00.000","2021-09-01T00:00:00.000"
"223739","110533","2","BRONX","765","765","765","ST ANNS AVENUE","65620","10456","2360","7501","2096545","1","2024-07-17T00:00:00.000","2024-09-30T00:00:00.000"
